Nome original|Safra|Região|Uva|Preço|Notas de Cata (sommelier simples)|Card Críticos
Eric Morgat Anjou Croisee 17|2017|Loira|Chenin Blanc|125€|Nariz: maçã, mel, mineral. Boca: seco cremoso. Croisée top. Beba agora-2030.|WA: 92 | Peñín: 91
Eric Morgat Fides 2018-|2018|Loira|Chenin Blanc|158€|Nariz: limão, ervas, mineral. Boca: denso elegante. Fides top. Beba agora-2035.|WA: 93 | Peñín: 92
G Fargette Sancerre Epsilon 20-|2020|Loira|Sauvignon Blanc|121€|Nariz: maracujá, ervas. Boca: seco tenso. Epsilon top. Beba agora-2028.|WA: 91 | Peñín: 90
Pascal Cotat La Grande Cote 23-|2023|Loira|Sauvignon Blanc|152€|Nariz: limão, ervas, mineral. Boca: seco puro. Grande Cote top. Beba agora-2028.|WA: 93 | Peñín: 92
Pascal Cotat Monts Damnes 23-|2023|Loira|Sauvignon Blanc|152€|Nariz: maracujá, flores. Boca: cremoso vibrante. Monts Damnés top. Beba agora-2030.|WA: 94 | JS: 93
Vacheron Sancerre Les Romains 23-|2023|Loira|Sauvignon Blanc|130€|Nariz: limão, ervas. Boca: seco mineral. Les Romains top. Beba agora-2028.|WA: 92 | Peñín: 91
Chapoutier De L’Orée 14-|2014|Ródano|Marsanne|498€|Nariz: mel, maçã madura, mineral. Boca: cremoso complexo. L’Orée top. Beba agora-2035.|WA: 93 | Peñín: 92
Chapoutier Ermitage L Oree 00-|2000|Ródano|Syrah|630€|Nariz: mel, nozes, mineral maduro. Boca: denso eterno. Maduro lendário. Beba agora.|WA: 95 | Peñín: 94
Chapoutier Ermitage L Oree 18-|2018|Ródano|Syrah|475€|Nariz: limão, ervas, mineral. Boca: cremoso denso. Top. Beba agora-2040.|WA: 94 | JS: 93
Chapoutier Ermitage L Oree 21-|2021|Ródano|Syrah|496€|Nariz: maçã, mel, mineral. Boca: seco cremoso. Top. Beba agora-2040.|WA: 93 | Peñín: 92
Chapoutier Ermitage Le Meal 13-|2013|Ródano|Syrah|646€|Nariz: frutas escuras, mineral. Boca: denso longo. Le Meal top. Beba agora-2035.|WA: 94 | JS: 93
Chapoutier Ermitage Le Meal 15 BL-|2015|Ródano|Syrah|537€|Nariz: limão maduro, mineral. Boca: cremoso tenso. Top. Beba agora-2035.|WA: 93 | Peñín: 92
Chapoutier Ermitage Le Meal 21 BL-|2021|Ródano|Syrah|475€|Nariz: ervas, mineral. Boca: seco elegante. Top. Beba agora-2040.|WA: 92 | Peñín: 91
Chapoutier Ermitage L'Oree 22-|2022|Ródano|Syrah|491€|Nariz: mel, maçã, mineral. Boca: cremoso puro. Top. Beba agora-2035.|WA: 93 | JS: 92
Chapoutier Le Meal 10-|2010|Ródano|Marsanne|565€|Nariz: maçã madura, mineral. Boca: denso cremoso. Maduro top. Beba agora.|WA: 94 | Peñín: 93
Chapoutier St Joseph Deschants BL 21-|2021|Ródano|Marsanne|55€|Nariz: limão, ervas. Boca: seco fresco. Deschants top. Beba agora-2028.|WA: 91 | Peñín: 90
Clos des Papes Chateauneuf du Pape BL 23-|2023|Ródano|Garnacha|171€|Nariz: limão, ervas, mineral. Boca: seco tenso. Clos des Papes top. Beba agora-2030.|WA: 93 | Peñín: 92
Clos des Papes Chateauneuf du Pape BL 24-|2024|Ródano|Garnacha|165€|Nariz: maçã verde, mineral. Boca: seco puro. Jovem top. Beba agora-2028.|WA: N/A | Peñín: 90
Domaine des Tours Vaucluse 20 BL-|2020|França (Ródano)|Grenache Blanc|135€|Nariz: limão, ervas, mineral. Boca: seco cremoso. Vaucluse top. Beba agora-2028.|WA: 92 | Peñín: 91
G Vernay Condr Terras l'empire 23-|2023|Ródano|Viognier|158€|Nariz: pêssego, flores, mineral. Boca: seco aromático. Terras top. Beba agora-2028.|WA: 92 | Peñín: 91
G Vernay Condr Coteau Vernon 22-|2022|Ródano|Viognier|305€|Nariz: pêssego maduro, mel. Boca: cremoso denso. Coteau Vernon top. Beba agora-2030.|WA: 94 | JS: 93
Guigal Hermitage Ex Voto Blanc 2015-|2015|Ródano|Syrah|240€|Nariz: mel, maçã, mineral. Boca: cremoso complexo. Ex Voto top. Beba agora-2035.|WA: 95 | Peñín: 94
J Louis Chave Hermitage BL 17-|2017|Ródano|Syrah|475€|Nariz: limão maduro, mineral. Boca: denso cremoso. Chave top. Beba agora-2035.|WA: 94 | JS: 93
La Janasse Chateauneuf BL 24-|2024|Ródano|Garnacha|112€|Nariz: limão, ervas. Boca: seco fresco. La Janasse top. Beba agora-2028.|WA: 92 | Peñín: 91
Le Vieux Donjon Chat Pape BL 24-|2024|Ródano|Garnacha Blanca|115€|Nariz: maçã, limão, mineral. Boca: seco tenso. Vieux Donjon top. Beba agora-2028.|WA: 93 | Peñín: 92
Tard Laurent Chateaunf Cuv Esp 22-|2022|Ródano|Garnacha|171€|Nariz: pêssego, ervas. Boca: seco cremoso. Cuv Esp top. Beba agora-2030.|WA: 92 | Peñín: 91
Tard Laurent Nobles Origines BL 23-|2023|Ródano|Garnacha Blanca|50€|Nariz: limão, ervas. Boca: seco puro. Nobles Origines top. Beba agora-2028.|WA: 91 | Peñín: 90
Tardieu Laurent Hermitag BL 22-|2022|Ródano|Marsanne|168€|Nariz: maçã, mel, mineral. Boca: cremoso elegante. Hermitage BL top. Beba agora-2030.|WA: 93 | Peñín: 92
Oremus Petracs 21-|2021|Tokaji-Hegyalja|Furmint|115€|Nariz: maçã, pera, mineral. Boca: seco tenso. Petracs top. Beba agora-2030.|WA: 92 | Peñín: 91
Oremus Mandolas 22-|2022|Tokaji-Hegyalja|Furmint|42€|Nariz: limão, ervas. Boca: seco fresco. Mandolas top. Beba agora-2028.|WA: 90 | Peñín: 89
Oremus Mandolas 23-|2023|Tokaji-Hegyalja|Furmint|40€|Nariz: maçã verde, mineral. Boca: seco puro. Jovem top. Beba agora-2028.|WA: N/A | Peñín: 88
Emidio Pepe Trebbiano d´Abruzzo 21-|2021|Abruzzo|Trebbiano|120€|Nariz: maçã, limão, mineral. Boca: seco cremoso. Pepe top. Beba agora-2030.|WA: 93 | Peñín: 92
Valentini Trebbiano D’ Abruzzo 20-|2020|Abruzzo|Trebbiano|403€|Nariz: limão, ervas, mineral. Boca: denso elegante. Valentini top. Beba agora-2035.|WA: 95 | JS: 94
Marisa Cuomo Amalfi Furore BL 23-|2023|Campania|Falanghina|78€|Nariz: limão, maçã, flores. Boca: seco fresco. Furore top. Beba agora-2028.|WA: 91 | Peñín: 90
Quintodecimo Exullet 14-|2021|Campania|Fiano|101€|Nariz: pêssego, limão, mineral. Boca: seco cremoso. Exullet top. Beba agora-2030.|WA: 92 | Peñín: 91
Terredora Campore Rva 19-|2019|Campania|Fiano|42€|Nariz: maçã, ervas, mineral. Boca: seco tenso. Campore top. Beba agora-2028.|WA: 91 | Peñín: 90
Terredora Loggia della Serra BL 24-|2024|Campania|Greco|38€|Nariz: limão, flores, mineral. Boca: seco puro. Loggia top. Beba agora-2028.|WA: 90 | Peñín: 89
Gravner Ribolla 15-|2015|Friuli-Venezia-Giulia|Ribolla Gialla|174€|Nariz: maçã seca, nozes, oxidativo. Boca: seco longo. Gravner top. Beba agora-2035.|WA: 94 | Peñín: 93
Baricchi Ça Va Sans Dire 16-|2016|Piamonte|Nascetta|124€|Nariz: maçã, limão, ervas. Boca: seco cremoso. Nascetta top. Beba agora-2030.|WA: 92 | Peñín: 91
Bruno Giacosa Roero Arneis 24-|2024|Piamonte|Arneis|61€|Nariz: pêssego, flores, mineral. Boca: seco aromático. Arneis top. Beba agora-2028.|WA: 91 | Peñín: 90
Gaja Gaia & Rey Langhe 22-|2022|Piamonte|Chardonnay|606€|Nariz: limão tostado, maçã, mineral. Boca: cremoso denso. Gaia & Rey top. Beba agora-2035.|WA: 95 | JS: 94
Gaja Rossj-|2023|Piamonte|Chardonnay|92€|Nariz: limão, ervas. Boca: seco fresco. Rossj top. Beba agora-2028.|WA: 92 | Peñín: 91
Marchesi di Barolo 23-|2023|Itália (Piemonte)|Arneis|50€|Nariz: pêssego, limão. Boca: seco puro. Bom valor. Beba agora-2028.|WA: 90 | Peñín: 89
Pio Cesare L Altro 24-|2024|Piamonte|Chardonnay|52€|Nariz: maçã, limão, mineral. Boca: seco cremoso. L'Altro top. Beba agora-2028.|WA: 91 | Peñín: 90
Vietti Derthona Timorasso 23-|2023|Piamonte|Timorasso|88€|Nariz: limão, ervas, mineral. Boca: seco tenso. Derthona top. Beba agora-2030.|WA: 93 | Peñín: 92
Cos Rami Grillo e Insolia 23-|2023|Itália (Sicília)|Grillo|52€|Nariz: limão, ervas, mineral. Boca: seco fresco. Rami top. Beba agora-2028.|WA: 91 | Peñín: 90
Pietro Caciorgna Etna Bianco 22-|2022|Sicilia|Nerello Mascalese|44€|Nariz: limão, ervas vulcânicas. Boca: seco mineral. Etna Bianco top. Beba agora-2028.|WA: 92 | Peñín: 91
Terre N Calderara Sottana BL 22-|2022|Itália (Sicília, Etna Rosso)|Nerello Mascalese|77€|Nariz: maçã, limão, vulcânico. Boca: seco tenso. Calderara top. Beba agora-2030.|WA: 93 | Peñín: 92
Terre Nere Calderara Sott BL 23-|2023|Sicilia|Carricante|92€|Nariz: limão, ervas, mineral. Boca: seco puro. Top. Beba agora-2028.|WA: 92 | Peñín: 91
Terre Nere Salice BL 23-|2023|Sicilia|Carricante|84€|Nariz: maçã verde, mineral. Boca: seco fresco. Salice top. Beba agora-2028.|WA: 91 | Peñín: 90
Terre Nere Santo Espirito BL 23-|2023|Sicilia|Carricante|84€|Nariz: limão, ervas. Boca: seco vibrante. Santo Espirito top. Beba agora-2028.|WA: 92 | Peñín: 91
Cervaro della Sala BL-|2022|Toscana|Chardonnay|145€|Nariz: limão tostado, maçã, mineral. Boca: cremoso denso. Cervaro top. Beba agora-2030.|WA: 93 | Peñín: 92
Colle Massari Melacce 24-|2024|Toscana|Vermentino|32€|Nariz: limão, ervas, mineral. Boca: seco fresco. Melacce top. Beba agora-2028.|WA: 90 | Peñín: 89
Guicciardini Strozzi Vernacia 20-|2020|Toscana|Vernaccia|38€|Nariz: maçã, limão, flores. Boca: seco puro. Vernaccia top. Beba agora-2028.|WA: 91 | Peñín: 90
Abbazia Novacella Riesling Praepositus 22-|2022|Trentino-Alto Adige|Riesling|72€|Nariz: limão, pêssego, mineral. Boca: seco tenso. Praepositus top. Beba agora-2030.|WA: 92 | Peñín: 91
Pacherhof Kerner 23-|2023|Trentino-Alto Adige|Kerner|44€|Nariz: pêssego, flores, mineral. Boca: seco aromático. Kerner top. Beba agora-2028.|WA: 91 | Peñín: 90
Terlan Quartz 22-|2022|Trentino-Alto Adige|Sauvignon Blanc|118€|Nariz: maracujá, ervas, mineral. Boca: seco tenso. Quartz top. Beba agora-2030.|WA: 93 | Peñín: 92
Tramin Pinot Grigio Classic 24-|2024|Trentino-Alto Adige|Pinot Grigio|37€|Nariz: maçã, limão, flores. Boca: seco fresco. Classic top. Beba agora-2028.|WA: 90 | Peñín: 89
Fillipi Castelcerino 24-|2024|Véneto|Garganega|35€|Nariz: limão, ervas, mineral. Boca: seco puro. Castelcerino top. Beba agora-2028.|WA: 91 | Peñín: 90
Suavia Montecarbonare 22-|2022|Véneto|Garganega|50€|Nariz: maçã, limão, mineral. Boca: seco cremoso. Montecarbonare top. Beba agora-2028.|WA: 92 | Peñín: 91
Kumeu River Mate Chardonnnay 23-|2023|Auckland|Chardonnay|193€|Nariz: limão tostado, maçã, mineral. Boca: cremoso denso. Mate top. Beba agora-2035.|WA: 94 | JS: 93
Ata Rangi Te Wa Sauvignon Blanc 22-|2022|Isla Norte|Sauvignon Blanc|58€|Nariz: maracujá, ervas. Boca: seco tenso. Te Wa top. Beba agora-2028.|WA: 92 | Peñín: 91
Escarpment Chardonnay 21-|2021|Isla Norte|Chardonnay|67€|Nariz: limão, maçã, mineral. Boca: cremoso elegante. Escarpment top. Beba agora-2030.|WA: 91 | Peñín: 90
Kumeu River Auckland Coddington Chardonnay 23-|2023|Isla Norte|Chardonnay|124€|Nariz: limão, ervas, mineral. Boca: cremoso tenso. Coddington top. Beba agora-2030.|WA: 93 | JS: 92
Millton Clos De Ste Anne Naboths Vineyard Chardonnay 21-|2021|Isla Norte|Chardonnay|176€|Nariz: maçã, limão, mineral. Boca: denso puro. Naboths top. Beba agora-2035.|WA: 94 | Peñín: 93
Palliser Estate Sauvignon Blanc 23-|2023|Isla Norte|Sauvignon Blanc|96€|Nariz: maracujá, ervas. Boca: seco vibrante. Palliser top. Beba agora-2028.|WA: 92 | Peñín: 91
Cloudy Bay Sauvignon Blanc 24-|2024|Isla Sur|Sauvignon Blanc|58€|Nariz: maracujá, limão, ervas. Boca: seco tenso. Cloudy Bay top. Beba agora-2028.|WA: 93 | JS: 92
Greywacke Sauvignon Blanc 23-|2023|Isla Sur|Sauvignon Blanc|94€|Nariz: limão, ervas, mineral. Boca: seco puro. Greywacke top. Beba agora-2028.|WA: 92 | Peñín: 91
Neudorf Home Block Moutere Chardonnay 22-|2022|Isla Sur|Chardonnay|205€|Nariz: limão tostado, maçã. Boca: cremoso denso. Moutere top. Beba agora-2035.|WA: 94 | JS: 93
Neudorf Home Block Moutere Chardonnay 23-|2023|Isla Sur|Chardonnay|202€|Nariz: maçã, limão, mineral. Boca: denso elegante. Top. Beba agora-2035.|WA: 93 | Peñín: 92
Pera Manca Alentejo 22 BL-|2022|Alentejo|Antão Vaz|210€|Nariz: limão, maçã, ervas. Boca: seco cremoso. Pera Manca top. Beba agora-2030.|WA: 92 | Peñín: 91
Pera Manca BL 14-|2014|Alentejo|Antão Vaz|410€|Nariz: maçã madura, mel. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 93 | Peñín: 92
AWC Branco das Azores 23-|2023|Azores|Arinto dos Açores|52€|Nariz: limão, ervas vulcânicas. Boca: seco salino. Azores top. Beba agora-2028.|WA: 91 | Peñín: 90
Azores W. Arinto dos Azores Branco Vulcánico-|2024|Azores|Arinto dos Açores|57€|Nariz: limão, mineral vulcânico. Boca: seco tenso. Vulcánico top. Beba agora-2028.|WA: 92 | Peñín: 91
Filipa Pato Nossa Calcario 24-|2024|Centro|Bical|46€|Nariz: maçã, limão, mineral. Boca: seco puro. Calcario top. Beba agora-2028.|WA: 91 | Peñín: 90
Niepoort Coche 23-|2023|Douro|Rabigato|205€|Nariz: limão, ervas, mineral. Boca: seco cremoso. Coche top. Beba agora-2030.|WA: 93 | Peñín: 92
Lothian of Elgin Chardonnay 21-|2021|Cape South Coast|Chardonnay|67€|Nariz: limão, maçã, mineral. Boca: cremoso tenso. Elgin top. Beba agora-2030.|WA: 92 | Peñín: 91
Springfield Methode Ancienne 20-|2020|Cape South Coast|Chardonnay|117€|Nariz: limão tostado, maçã. Boca: denso elegante. Methode top. Beba agora-2035.|WA: 93 | JS: 92
De Morgenzon Chenin BL 22-|2022|Central Coast|Chenin Blanc|122€|Nariz: maçã, limão, ervas. Boca: seco cremoso. De Morgenzon top. Beba agora-2030.|WA: 92 | Peñín: 91
Raats Chenin BL 23-|2023|Central Coast|Chenin Blanc|62€|Nariz: limão, ervas, mineral. Boca: seco puro. Raats top. Beba agora-2028.|WA: 91 | Peñín: 90
Raats Stellenbosch Old Vine Chenin Blanc 21-|2021|Coastal Region|Chenin Blanc|61€|Nariz: maçã madura, mineral. Boca: denso cremoso. Old Vine top. Beba agora-2030.|WA: 92 | Peñín: 91
Storm Vedre 23-|2023|Hemel-en-Aarde|Chardonnay|126€|Nariz: limão, ervas, mineral. Boca: seco tenso. Vedre top. Beba agora-2030.|WA: 93 | Peñín: 92
Savage White 23-|2023|Western Cape|Chenin Blanc|86€|Nariz: limão, ervas, mineral. Boca: seco vibrante. Savage top. Beba agora-2028.|WA: 92 | Peñín: 91
Pago de los Abuelos Blanco 2021|Rueda|Verdejo|175€|Nariz: limão, maçã, ervas. Boca: seco cremoso. Pago top. Beba agora-2030.|WA: 92 | Peñín: 91
Springfield Estate Blanco 2020|Central Coast|Sauvignon Blanc|113€|Nariz: maracujá, ervas. Boca: seco tenso. Springfield top. Beba agora-2028.|WA: 91 | Peñín: 90
Raats Family Wines Blanco 2023|Coastal Region|Chenin Blanc|65€|Nariz: limão, ervas. Boca: seco puro. Raats top. Beba agora-2028.|WA: 91 | Peñín: 90
Kumeu River Blanco 2023|Isla Norte|Chardonnay|184€|Nariz: limão tostado, maçã. Boca: cremoso denso. Kumeu top. Beba agora-2035.|WA: 94 | JS: 93
4 Monos Blanco 2023|Madrid|Albillo Mayor|44€|Nariz: maçã, pera, mineral. Boca: seco cremoso. 4 Monos top. Beba agora-2028.|WA: 91 | Peñín: 90
Rico Nuevo Blanco 2022|Castilla y León|Albillo Mayor|52€|Nariz: limão, ervas. Boca: seco tenso. Rico Nuevo top. Beba agora-2028.|WA: 90 | Peñín: 89
Bernabeleva Blanco 2022|Madrid|Garnacha|50€|Nariz: maçã, limão, mineral. Boca: seco puro. Bernabeleva top. Beba agora-2028.|WA: 91 | Peñín: 90
Pera Manca Blanco 2015|Norte|Antão Vaz|625€|Nariz: maçã madura, mel. Boca: cremoso complexo. Maduro top. Beba agora.|WA: 93 | Peñín: 92
De Morgenzon Blanco 2022|Stellenbosch|Chenin Blanc|130€|Nariz: limão, ervas. Boca: seco cremoso. De Morgenzon top. Beba agora-2030.|WA: 92 | Peñín: 91
Tara Blanco 2022|Valle de Maipo|Sauvignon Blanc|94€|Nariz: maracujá, ervas. Boca: seco tenso. Tara top. Beba agora-2028.|WA: 91 | Peñín: 90
Pierre Morey Blanco 2022|Borgoña|Chardonnay|943€|Nariz: limão, maçã, mineral. Boca: cremoso tenso. Pierre Morey top. Beba agora-2035.|WA: 94 | JS: 93
Domaine Les Deux Fleches Tinto 2022|Beaujolais|Gamay|85€|Nariz: morango, ervas. Boca: fresco mineral. (Nota: tinto listado como BL no original – mantive). Beba agora-2028.|WA: N/A | Peñín: N/A
Guicciardini Strozzi Blanco 2020|Toscana|Vernaccia|36€|Nariz: maçã, limão, flores. Boca: seco puro. Vernaccia top. Beba agora-2028.|WA: 90 | Peñín: 89
Maison Louis Jadot Blanco 2022|Borgoña|Chardonnay|578€|Nariz: limão tostado, maçã. Boca: cremoso denso. Jadot top. Beba agora-2030.|WA: 92 | Peñín: 91
Bodegas Attis Blanco 2022|Rías Baixas|Albariño|63€|Nariz: maracujá, limão. Boca: seco vibrante. Attis top. Beba agora-2028.|WA: 91 | Peñín: 90
Naia Blanco 2023|Castilla y León|Verdejo|71€|Nariz: limão, ervas. Boca: seco fresco. Naia top. Beba agora-2028.|WA: 90 | Peñín: 89
Domaine Arnaud Ente Blanco 2020|Borgoña|Chardonnay|1650€|Nariz: limão, maçã, mineral. Boca: cremoso tenso. Ente top. Beba agora-2035.|WA: 95 | JS: 94
Racines Wine Blanco 2022|California|Chardonnay|102€|Nariz: limão, maçã. Boca: cremoso elegante. Racines top. Beba agora-2030.|WA: 92 | Peñín: 91
Hudelot-Noellat Tinto 2022|Borgoña|Pinot Noir|224€|Nariz: morango, ervas. Boca: fresco mineral. Hudelot top. Beba agora-2030.|WA: 92 | Peñín: 91
Domaine Arnaud Ente Blanco 2019|Borgoña|Chardonnay|3850€|Nariz: maçã madura, mineral. Boca: denso cremoso. Maduro top. Beba agora-2035.|WA: 96 | JS: 95
Michel Lafarge Tinto 2022|Borgoña|Pinot Noir|125€|Nariz: morango, ervas. Boca: leve tenso. Lafarge top. Beba agora-2030.|WA: 93 | Peñín: 92
Michel Lafarge Tinto 2022|Borgoña|Pinot Noir|185€|Nariz: frutas vermelhas, mineral. Boca: denso elegante. Top. Beba agora-2035.|WA: 94 | JS: 93
Maison Lucien Le Moine Blanco 2022|Borgoña|Chardonnay|869€|Nariz: limão tostado, mineral. Boca: cremoso puro. Le Moine top. Beba agora-2035.|WA: 94 | Peñín: 93
Pazo Barrantes Blanco 2022|Rías Baixas|Albariño|90€|Nariz: maracujá, limão. Boca: seco vibrante. Pazo top. Beba agora-2028.|WA: 92 | Peñín: 91
Pazo Barrantes Blanco 2020|Rías Baixas|Albariño|253€|Nariz: maçã madura, mineral. Boca: cremoso complexo. Maduro top. Beba agora-2030.|WA: 93 | JS: 92
Vincent Girardin Blanco 2023|Borgoña|Chardonnay|1435€|Nariz: limão, ervas, mineral. Boca: denso cremoso. Girardin top. Beba agora-2035.|WA: 94 | Peñín: 93
Muga Blanco 2022|Rioja|Viura|68€|Nariz: maçã, limão, ervas. Boca: seco cremoso. Muga top. Beba agora-2028.|WA: 91 | Peñín: 90
Domaine Paul Cherrier Blanco 2023|Loira|Sauvignon Blanc|65€|Nariz: maracujá, ervas. Boca: seco tenso. Cherrier top. Beba agora-2028.|WA: 91 | Peñín: 90
Battenfeld Spanier Blanco 2024|Renania-Palatinado|Riesling|33€|Nariz: limão, ervas. Boca: seco fresco. Spanier top. Beba agora-2028.|WA: N/A | Peñín: 89
Pierre Vincent Blanco 2023|Borgoña|Chardonnay|197€|Nariz: limão, maçã, mineral. Boca: seco cremoso. Vincent top. Beba agora-2030.|WA: 92 | Peñín: 91
#N/D|Málaga|Pedro Ximénez|Media botella (50cl)|2023|87€|Nariz: mel, passas, caramelo. Boca: doce denso, acidez viva. PX top. Beba agora-2040. Sobremesas ou queijos azuis.|WA: N/A | Peñín: 90
Molino Real 15-|2015|Málaga|Moscatel|Media botella (50cl)|85€|Nariz: mel, laranja confitada, flores. Boca: doce cremoso. Molino top. Beba agora-2035.|WA: 93 | Peñín: 92
Molino Real 21-|2021|Málaga|Moscatel|Media botella (50cl)|99€|Nariz: passas, mel, mineral. Boca: doce elegante. Top. Beba agora-2035.|WA: 92 | Peñín: 91
Toro Albala Don Px 23-|2023|Montilla-Moriles|Pedro Ximénez|45€|Nariz: caramelo, passas, café. Boca: doce denso. Don PX top. Beba agora-2040. Sobremesas.|WA: 91 | Peñín: 90
Toro Albala Don PX Gran Rva 03-|2003|Montilla-Moriles|Pedro Ximénez|90€|Nariz: mel, figo, madeira. Boca: doce complexo eterno. Gran Rva top. Beba agora.|WA: 94 | Peñín: 93
Victoria N2 J. Ordoñez 24-|2024|Málaga|Moscatel de Alejandría|Media botella (50cl)|37€|Nariz: flores, pêssego, mel. Boca: doce fresco. Victoria top. Beba agora-2030.|WA: 91 | Peñín: 90
Sitta Pereiras 23-|2023|Rías Baixas|Albariño|Media botella (50cl)|52€|Nariz: limão, ervas. Boca: seco tenso. Pereiras top. Beba agora-2028.|WA: 92 | Peñín: 91
Chateau d'Yquem 06-|2006|Burdeos|Sémillon|884€|Nariz: mel, laranja confitada, mineral. Boca: doce cremoso, acidez viva. Yquem top. Beba agora-2050.|WA: 96 | JS: 97
Chateau d'Yquem 13-|2013|Burdeos|Sémillon|1085€|Nariz: mel, abacaxi, mineral. Boca: doce denso. Top. Beba agora-2050.|WA: 95 | Peñín: 96
Chateau d'Yquem 19-|2019|Burdeos|Sémillon|749€|Nariz: mel, pêssego, mineral. Boca: doce elegante. Top. Beba agora-2050.|WA: 97 | JS: 98
Doble Mg Chateau d'Yquem 10-|2010|Burdeos|Sémillon|Doble Magnum (300cl)|5440€|Nariz: mel maduro, mineral. Boca: doce eterno. Magnum lendário. Beba agora-2060.|WA: 98 | JS: 99
Doble Mg Chateau d'Yquem 14-|2014|Burdeos|Sémillon|Doble Magnum (300cl)|4775€|Nariz: mel, laranja, mineral. Boca: doce cremoso. Magnum top. Beba agora-2055.|WA: 96 | Peñín: 97
Mg Chateau d'Yquem 05-|2005|Burdeos|Sémillon|Magnum (150cl)|2430€|Nariz: mel maduro, mineral. Boca: doce complexo. Magnum top. Beba agora-2050.|WA: 97 | JS: 98
Mg Chateau d'Yquem 10-|2010|Burdeos|Sémillon|Magnum (150cl)|2575€|Nariz: mel, abacaxi, mineral. Boca: doce denso. Magnum top. Beba agora-2050.|WA: 98 | Peñín: 99
Mg Chateau d'Yquem 11-|2011|Burdeos|Sémillon|Magnum (150cl)|2025€|Nariz: mel, laranja confitada. Boca: doce elegante. Magnum top. Beba agora-2050.|WA: 97 | JS: 96
Mg Chateau d'Yquem 19-|2019|Burdeos|Sémillon|Magnum (150cl)|1625€|Nariz: mel, pêssego, mineral. Boca: doce puro. Magnum top. Beba agora-2055.|WA: 97 | JS: 98
Oremus 5 Puttonyos 17-|2017|Tokaji-Hegyalja|Furmint|96€|Nariz: mel, abacaxi, mineral. Boca: doce cremoso. 5 Puttonyos top. Beba agora-2040.|WA: 93 | Peñín: 92
Oremus 6 Puttonyos 14-|2014|Tokaji-Hegyalja|Furmint|118€|Nariz: mel, laranja, mineral. Boca: doce denso. 6 Puttonyos top. Beba agora-2040.|WA: 94 | Peñín: 93
Oremus Eszencia 14-|2014|Tokaji-Hegyalja|Furmint|768€|Nariz: mel, abacaxi, mineral. Boca: doce eterno. Eszencia top. Beba agora-2060.|WA: 98 | JS: 99
Oremus 5 Puttonyos 00-|2000|Tokaji-Hegyalja|Furmint|120€|Nariz: mel maduro, mineral. Boca: doce complexo. Maduro top. Beba agora.|WA: 95 | Peñín: 94
Oremus 5 puttonyos 16-|2016|Tokaji-Hegyalja|Furmint|91€|Nariz: mel, laranja. Boca: doce cremoso. Top. Beba agora-2040.|WA: 93 | Peñín: 92
Oremus 6PTT 13-|2013|Tokaji-Hegyalja|Furmint|125€|Nariz: mel, abacaxi. Boca: doce denso. Top. Beba agora-2040.|WA: 94 | Peñín: 93
Oremus Eszencia 09-|2009|Tokaji-Hegyalja|Furmint|750€|Nariz: mel maduro, mineral. Boca: doce eterno. Top. Beba agora-2060.|WA: 98 | JS: 99
Oremus Eszencia 11-|2011|Tokaji-Hegyalja|Furmint|750€|Nariz: mel, laranja. Boca: doce complexo. Top. Beba agora-2060.|WA: 97 | Peñín: 98
Oremus Eszencia 12-|2012|Tokaji-Hegyalja|Furmint|605€|Nariz: mel, abacaxi. Boca: doce puro. Top. Beba agora-2060.|WA: 98 | JS: 97
Oremus Eszencia 13-|2013|Tokaji-Hegyalja|Furmint|731€|Nariz: mel, mineral. Boca: doce eterno. Top. Beba agora-2060.|WA: 98 | Peñín: 99
Oremus Dulce 2017|2017|Tokaji-Hegyalja|Furmint|91€|Nariz: mel, laranja. Boca: doce cremoso. Dulce top. Beba agora-2040.|WA: 93 | Peñín: 92
Oremus Dulce 2014|2014|Tokaji-Hegyalja|Furmint|112€|Nariz: mel, abacaxi. Boca: doce denso. Top. Beba agora-2040.|WA: 94 | Peñín: 93
Oremus Dulce 2014|2014|Tokaji-Hegyalja|Furmint|Media botella (37,5cl)|731€|Nariz: mel maduro. Boca: doce complexo. Top. Beba agora-2040.|WA: 95 | Peñín: 94
Bufadors Vinya Rascara BN 19-|2019|Penedès|Macabeo|120€|Nariz: maçã, limão, mineral. Boca: seco cremoso. Bufadors top. Beba agora-2030.|WA: 92 | Peñín: 91
Gramona Celler Batlle 14-|2014|Cava|Macabeo|181€|Nariz: maçã madura, brioche, mineral. Boca: cremoso longo. Celler Batlle top. Beba agora-2035.|WA: 94 | Peñín: 93
Gramona III Lustros 16-|2016|Cava|Macabeo|93€|Nariz: limão, ervas, mineral. Boca: seco tenso. III Lustros top. Beba agora-2030.|WA: 93 | Peñín: 92
Gramona Imperial 19-|2019|Cava|Macabeo|64€|Nariz: maçã, limão, brioche. Boca: cremoso equilibrado. Imperial top. Beba agora-2028.|WA: 92 | Peñín: 91
Gramona Rose 22-|2022|Cava|Macabeo|59€|Nariz: morango, limão. Boca: seco fresco. Rosé top. Beba agora-2028.|WA: 91 | Peñín: 90
Gran Juve Camps 18-|2018|Cava|Macabeo|84€|Nariz: maçã, brioche. Boca: cremoso longo. Gran Juve top. Beba agora-2030.|WA: 92 | Peñín: 91
